date,time,title,sentiment,label,news_num
27-Nov-25,07:12:54,กรุงศรี ส่อง 3 หุ้นปัจจัยพื้นฐานเด่น KTB-GULF-GLOBAL - Thunhoon,0.0,neutral,1
25-Nov-25,01:50:15,การเมือง! เขย่าหุ้นไทย เก็บ GULF เข้าพอร์ต - HoonVision | หุ้นวิชั่น - หุ้น ข่าวหุ้น หุ้นไทยวันนี้ หุ้นวันนี้ หุ้นเด่น วิเคราะห์หุ้น ธุรกิจ การเงิน เศรษฐกิจ การลงทุน ดัชนีราคาหุ้น - HoonVision,0.0,neutral,2
20-Nov-25,03:08:04,GULF กำลังจะมีข่าวดี! จ่อจ่ายปันผลระหว่างกาล จับตา 8 ปี ซื้อกิจการต่อเนื่อง - Share2Trade,0.4,positive,3
26-Nov-25,10:55:57,GULF ปักธงไทย Hub ดิจิทัลภูมิภาค! ชูโมเดล “พลังงานสะอาด-ดาต้าเซนเตอร์” สร้างความเชื่อมั่น - ข่าวหุ้นธุรกิจออนไลน์,0.0,neutral,4
26-Nov-25,14:45:00,GULF จัดโครงการบรรพชาอุปสมบทหมู่ ถวายเป็นพระราชกุศล แด่สมเด็จพระนางเจ้าสิริกิติ์พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง - ผู้จัดการออนไลน์,0.0,neutral,5
27-Nov-25,07:17:27,กรุงศรี ส่อง 3 หุ้นปัจจัยพื้นฐานเด่น KTB-GULF-GLOBAL - facebook.com,0.0,neutral,6
27-Nov-25,04:47:41,GULF จัดโครงการบรรพชาอุปสมบทหมู่ ถวายเป็นพระราชกุศล แด่สมเด็จพระนางเจ้าสิริกิติ์พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง - ThaiPost,0.0,neutral,7
26-Nov-25,06:08:22,ส่องพื้นฐาน เทคนิคลงทุน GULF-MTC - Thunhoon,0.5,positive,8
27-Nov-25,07:21:24,กรุงศรี ส่อง 3 หุ้นปัจจัยพื้นฐานเด่น KTB-GULF-GLOBAL - facebook.com,0.0,neutral,9
26-Nov-25,04:28:27,GULF-ITEL-BGRIM-INSET วิ่ง! จ่อรับ “กูเกิล” จับมือ AIS รุก TalayLink เดินหน้าเคเบิลใต้น้ำ - ข่าวหุ้นธุรกิจออนไลน์,0.0,neutral,10
24-Nov-25,00:33:30,GULFอีบิทดาปี69พุ่ง โรงไฟฟ้าJacksonดัน - Thunhoon,0.9,positive,11
24-Nov-25,00:30:03,GULFอีบิทดาปี69พุ่ง โรงไฟฟ้าJacksonดัน อ่านต่อคลิก https://thunhoon.com/gulf-jackson24112568 #ทันหุ้น #ทันหุ้นออนไลน์ #GULF #อีบิทดา #โรงไฟฟ้าJackson - facebook.com,0.9,positive,12
26-Nov-25,00:33:33,PDPดันโรงไฟฟ้าคึก ชูBGRIM-GPSC-GULF - Thunhoon,0.0,neutral,13
26-Nov-25,06:09:28,ส่องพื้นฐาน เทคนิคลงทุน GULF-MTC - facebook.com,0.5,positive,14
26-Nov-25,00:30:02,PDPดันโรงไฟฟ้าคึก ชูBGRIM-GPSC-GULF อ่านต่อคลิก https://thunhoon.com/pdp26112568 #ทันหุ้น #ทันหุ้นออนไลน์ #แผนPDP #หุ้นโรงไฟฟ้า #BGRIM #GULF - facebook.com,0.0,neutral,15
21-Nov-25,06:33:06,ส่องพื้นฐาน เทคนิคลงทุน GULF-WHA - Thunhoon,0.5,positive,16
25-Nov-25,02:35:00,บล.กรุงศรี คาดดัชนีปรับตัวขึ้น หุ้นเด่น ADVANC-GULF-BDMS - Hoonsmart,0.0,neutral,17
14-Nov-25,08:00:00,"GULF รับรู้ Core Profit ไตรมาส 3/2568 จำนวน 7,280 ล้านบาท สูงสุดเป็นประวัติการณ์ - Thunhoon",0.0,neutral,18
20-Nov-25,03:53:37,GULF หยวนต้า คาดกำไรปกติ Q4/68 ที่ 7.2-7.5 พันลบ. ให้ราคาเป้าหมาย 59 บาท - Thunhoon,0.6000000000000001,positive,19
06-Nov-25,08:00:00,จับตาวันนี้ GULF แจ้งงบ Q3 ลุ้นฟาดกำไร 7.2 พันลบ. เติบโต 20% หลัง ADVANC หนุน - ไฟฟ้าแข็งแกร่ง - Share2Trade,0.7666666666666667,positive,20
